ID,Supersection,carbon_metric_tons
59,Northern California Coast,51.139050423697704
60,Southern Cascades,35.01281720972383
61,Southern Cascades,35.01281720972383
62,Southern Cascades,35.01281720972383
63,Southern Cascades,35.01281720972383
64,Southern Cascades,35.01281720972383
65,Northern California Coast,51.139050423697704
66,Northern California Coast,51.139050423697704
67,Southern Cascades,21.87393002815114
68,Southern Cascades,21.87393002815114
69,Sierra Nevada,33.94136665160335
70,Southern Cascades,35.01281720972383
71,Southern Cascades,35.01281720972383
72,Southern Cascades,35.01281720972383
73,Southern Cascades,35.01281720972383
74,Southern Cascades,35.01281720972383
75,Modoc Plateau,11.431829831787505
76,Southern Cascades,35.01281720972383
77,Southern Cascades,35.01281720972383
78,Sierra Nevada,39.84342328433063
79,Southern Cascades,35.01281720972383
80,Modoc Plateau,11.431829831787505
81,Southern Cascades,35.01281720972383
82,Southern Cascades,35.01281720972383
83,Modoc Plateau,11.431829831787505
84,Southern Cascades,19.640227694259668
85,Southern Cascades,35.01281720972383
86,Southern California Mountains,18.087533626802795
87,Sierra Nevada,39.84342328433063
88,Sierra Nevada,39.84342328433063
89,Sierra Nevada Foothills,8.943886166741473
90,Sierra Nevada,39.84342328433063
91,Northern California Coast,51.139050423697704
92,Northern California Coast,51.139050423697704
93,Northern California Coast,51.139050423697704
94,Southern Cascades,21.87393002815114
95,Northern California Coast,51.139050423697704
96,Southern Cascades,35.01281720972383
97,Southern Cascades,21.87393002815114
98,Northern California Coast,51.139050423697704
99,Northern California Coast,51.139050423697704
100,Northern California Coast,51.139050423697704
101,Southern Cascades,35.01281720972383
102,Northern California Coast,51.139050423697704
103,Northern California Coast,51.139050423697704
104,Northern California Coast,51.139050423697704
105,Northern California Coast,51.139050423697704
106,Northern California Coast,51.139050423697704
107,Modoc Plateau,11.431829831787505
108,Modoc Plateau,11.431829831787505
109,Western Basin and Range,0
110,Sierra Nevada,33.94136665160335
111,Central California Coast,25.387922776547775
112,Sierra Nevada,39.84342328433063
113,Sierra Nevada,39.84342328433063
114,Sierra Nevada,39.84342328433063
115,Sierra Nevada,21.083961686047175
116,Sierra Nevada,39.84342328433063
117,Sierra Nevada,39.84342328433063
118,Sierra Nevada,39.84342328433063
119,Sierra Nevada,39.84342328433063
120,Sierra Nevada,21.083961686047175
121,Sierra Nevada,39.84342328433063
122,Sierra Nevada,33.94136665160335
123,Southern Cascades,35.01281720972383
124,Sierra Nevada,39.84342328433063
125,Sierra Nevada,33.94136665160335
126,Sierra Nevada,39.84342328433063
127,Sierra Nevada,33.94136665160335
128,Sierra Nevada,39.84342328433063
129,Sierra Nevada,39.84342328433063
130,Southern Cascades,19.640227694259668
131,Sierra Nevada,39.84342328433063
132,Sierra Nevada,39.84342328433063
133,Sierra Nevada,39.84342328433063
134,Sierra Nevada,39.84342328433063
135,Sierra Nevada,39.84342328433063
136,Southern Cascades,35.01281720972383
137,Sierra Nevada,33.94136665160335
138,Sierra Nevada,39.84342328433063
139,Sierra Nevada,39.84342328433063
140,Sierra Nevada,39.84342328433063
141,Sierra Nevada,9.742933071910207
142,Southern California Mountains,18.087533626802795
143,Southern California Mountains,0.9806494487129571
144,Southern California Mountains,0.9806494487129571
145,Central California Coast,25.387922776547775
146,California Central Valley Basin,12.094675776424985
147,Central California Coast,76.46341286745687
148,Central California Coast,76.46341286745687
149,Central California Coast,25.387922776547775
150,Central California Coast,76.46341286745687
151,Central California Coast,76.46341286745687
152,Southern Cascades,35.01281720972383
153,Southern Cascades,35.01281720972383
154,Southern Cascades,21.87393002815114
155,Southern Cascades,35.01281720972383
156,Southern Cascades,35.01281720972383
157,Southern Cascades,35.01281720972383
158,Southern Cascades,35.01281720972383
159,Southern Cascades,35.01281720972383
160,Southern Cascades,35.01281720972383
161,Southern Cascades,21.87393002815114
162,Southern Cascades,35.01281720972383
163,Southern Cascades,35.01281720972383
164,Southern Cascades,35.01281720972383
165,Southern Cascades,35.01281720972383
166,Southern Cascades,35.01281720972383
167,Southern Cascades,35.01281720972383
168,Sierra Nevada,39.84342328433063
169,Sierra Nevada,39.84342328433063
170,Sierra Nevada,39.84342328433063
171,Sierra Nevada,39.84342328433063
172,Sierra Nevada,39.84342328433063
