biosum_cond_id,ID,acres,owngrpcd,rxcycle,rxpackage,county,mmbf_county,merch_yield_mmbf,target,random_harvest_assign,total_yield,cum_sum,error,random_harvest_assign1
1200706050706300985700001,140,6195.8600552109,40,1,032,Plumas,82.3,0.09438535,68.8851,20.88373162409064,1.9711183186458636,23.621721359407516,0.01,NA
1201406060406300639180001,1716,6885.6830632359,40,1,032,Plumas,82.3,0.04050144,68.8851,54.12100387004816,2.1919785909825236,25.813699950390042,0.01,NA
1201306060306300586800001,1482,2973.9944866539,40,1,032,Plumas,82.3,0.05892485,68.8851,40.52216679723389,2.3877626002019876,28.201462550592026,0.01,NA
1201006051006300617400002,808,2057.8743833748,40,1,032,Plumas,82.3,0.03779626,68.8851,39.76810954716265,1.5030858081530418,29.704548358745072,0.01,NA
1200806050806300970600001,363,6597.3256588267,40,1,032,Plumas,82.3,0.05114892,68.8851,100.55876195434254,5.14347207050171,34.84802042924678,0.01,NA
1201006051006300645920001,810,8231.4975334992,40,1,032,Plumas,82.3,0.04127673,68.8851,42.31625144367554,1.7466764854527055,36.59469691469948,0.01,NA
1201106060106300878210001,1048,6904.4706649014,40,1,032,Plumas,82.3,0.03165137,68.8851,129.18492094862413,4.088879731365653,40.68357664606514,0.01,NA
1201106051006300648190002,919,2895.9725243447,40,1,032,Plumas,82.3,0.06646554,68.8851,163.20817779117203,10.847719669306256,51.53129631537139,0.01,NA
1201506060506300718810001,1953,6597.3256588267,40,1,032,Plumas,82.3,0.06473585,68.8851,139.56792122720057,9.035048013375873,60.56634432874727,0.01,NA
1200706050706300716460001,127,7109.2577343223,40,1,032,Plumas,82.3,0.06666522,68.8851,132.59126852071756,8.83922608601271,69.40557041475998,0.01,NA
1201606060606300570580001,2184,8599.1101458741,40,2,032,Plumas,82.3,0.01835184,68.8851,480.9067221170907,8.82552321921731,8.82552321921731,0.01,480.9067221170907
1201606060606300966600001,2197,5936.8360868428,40,2,032,Plumas,82.3,0.03390002,68.8851,79.29994570307882,2.688269745333286,11.513792964550596,0.01,79.29994570307882
1201306060306300772190001,1493,3998.252346792,40,2,032,Plumas,82.3,0.0449632,68.8851,442.80362891943133,19.909868127830176,31.423661092380772,0.01,442.80362891943133
1200906050906300563930001,578,7109.2577343223,40,2,032,Plumas,82.3,0.05067136,68.8851,339.47971879168756,17.201899043592366,48.62556013597314,0.01,339.47971879168756
1200906050906300927500001,588,6597.3256588267,40,2,032,Plumas,82.3,0.05764342,68.8851,220.8977626428211,12.733302509080447,61.358862645053584,0.01,220.8977626428211
1200706050706300506280001,123,6787.6748197653,40,2,032,Plumas,82.3,0.0563696,68.8851,135.85081808842975,7.657856275317549,69.01671892037113,0.01,135.85081808842975
1201206060206300925480001,1280,3067.0372349877,40,3,032,Plumas,82.3,0.03617842,68.8851,933.4344068366205,33.77018201298613,33.77018201298613,0.01,933.4344068366205
1201106060106300903100001,1052,6085.9973508845,40,3,032,Plumas,82.3,0.03772456,68.8851,365.0832849713505,13.77260628889881,47.54278830188494,0.01,365.0832849713505
1201306060306300617500001,1486,4628.5838192971,40,3,032,Plumas,82.3,0.04640422,68.8851,253.5102142085702,11.763943752381618,59.30673205426656,0.01,253.5102142085702
1201106051006300648190001,918,5335.5250091545,40,3,032,Plumas,82.3,0.04316786,68.8851,132.94714062218424,5.739043553778762,65.04577560804532,0.01,132.94714062218424
1201606060606300798370001,2191,6597.3256588267,40,3,032,Plumas,82.3,0.02348421,68.8851,52.1968867233726,1.225802649157894,66.27157825720322,0.01,52.1968867233726
1201506060506300836620001,1956,3788.2902678612,40,3,032,Plumas,82.3,0.02406784,68.8851,92.51512778610171,2.22663929313545,68.49821755033867,0.01,92.51512778610171
1200906050906300992380001,592,6787.6748197653,40,4,032,Plumas,82.3,0.05478305,68.8851,277.33289237742713,15.193141709757208,15.193141709757208,0.01,277.33289237742713
1201006051006300617400002,808,2057.8743833748,40,4,032,Plumas,82.3,0.02211123,68.8851,39.76810954716265,0.8793218168625092,16.072463526619718,0.01,107.29064793645776
1201006051006300874780001,818,5850.0374007649,40,4,032,Plumas,82.3,0.0572342,68.8851,680.1675738974069,38.92884695795897,55.00131048457868,0.01,680.1675738974069
1201306060306300617500003,1487,1721.420765809,40,4,032,Plumas,82.3,0.06495151,68.8851,207.60388513858558,13.484185821617693,68.48549630619638,0.01,207.60388513858558
1200706050708500821490001,147,4931.4996658899,40,1,032,Santa Clara,3.5,0.03380878,2.9295,86.99418657709924,2.941167315264101,2.941167315264101,0.01,NA
1200706050708700916320001,150,7523.9589376441,40,1,032,Santa Cruz,15.7,0.03087736,13.140899999999998,44.08959969668151,1.3613704420903259,1.3613704420903259,0.01,NA
1200806050808700945780001,367,6980.6083948015,40,1,032,Santa Cruz,15.7,0.07204929,13.140899999999998,25.57573295198381,1.8427134004200376,3.2040838425103635,0.01,NA
1201506060508700827000001,1970,7109.2577343223,40,1,032,Santa Cruz,15.7,0.0433425,13.140899999999998,14.848574833013117,0.643574354699871,3.8476581972102344,0.01,NA
1201006051008700896420001,828,7109.2577343223,40,1,032,Santa Cruz,15.7,0.01701245,13.140899999999998,71.2403836618078,1.211973465027322,5.059631662237557,0.01,NA
1201606060608700595960001,2204,5819.3456255516,40,1,032,Santa Cruz,15.7,0.14536906,13.140899999999998,4.351543449368943,0.6325797807839209,5.692211443021478,0.01,NA
1200906050908700670260001,599,5983.2508726086,40,1,032,Santa Cruz,15.7,0.04802468,13.140899999999998,64.82445997907281,3.1131739466677786,8.805385389689256,0.01,NA
1201406060408700998200001,1739,7523.9589376441,40,1,032,Santa Cruz,15.7,0.06664001,13.140899999999998,66.65107300294996,4.441628171427315,13.247013561116571,0.01,NA
1201006051008700902410001,829,6500.1517307872,40,2,032,Santa Cruz,15.7,0.01466008,13.140899999999998,898.5391870848351,13.17265636579865,13.17265636579865,0.01,898.5391870848351
