biosum_cond_id,ID,biosum_plot_id,lat,lon,elev
1200706050706300716460001,127,120070605070630071646000,39.695891,-120.987327,5500
1200706050706300734580001,128,120070605070630073458000,39.822544,-121.326603,4700
1200706050706300748680001,129,120070605070630074868000,39.712999,-121.161715,4700
1200706050706300782790001,130,120070605070630078279000,40.143474,-121.331769,6100
1200706050706300805930002,131,120070605070630080593000,39.882509,-120.706923,4900
1200706050706300844490001,132,120070605070630084449000,39.90341,-120.83148,4900
1200706050706300902670001,133,120070605070630090267000,40.042534,-120.69892,4700
1200706050706300916460001,134,120070605070630091646000,40.190187,-120.75088,5900
1200706050706300919930001,135,120070605070630091993000,40.189467,-121.07414,4500
1200706050706300941140001,136,120070605070630094114000,40.194542,-121.150038,4700
1200706050706300947860001,137,120070605070630094786000,39.996635,-121.341863,6500
1200706050706300950340001,138,120070605070630095034000,40.002521,-120.554742,5500
1200706050706300960020001,139,120070605070630096002000,39.843391,-121.017139,5900
1200706050706300985700001,140,120070605070630098570000,40.076336,-120.894076,3700
1200706050706300994900001,141,120070605070630099490000,40.056591,-120.394924,6300
1200706050706500898750001,142,120070605070650089875000,33.599208,-116.604456,4500
1200706050707100686860001,143,120070605070710068686000,34.323823,-116.951715,7500
1200706050707100915470001,144,120070605070710091547000,34.192268,-116.712258,8900
1200706050707900929820001,145,120070605070790092982000,35.28624,-120.594548,1300
1200706050707900938490001,146,120070605070790093849000,35.49431,-120.72984,1100
1200706050708500821490001,147,120070605070850082149000,37.063742,-121.769712,1500
1200706050708500894850001,148,120070605070850089485000,37.175833,-121.953084,2100
1200706050708700542490002,149,120070605070870054249000,37.19643,-122.090558,2100
1200706050708700916320001,150,120070605070870091632000,37.049587,-122.0575,700
1200706050708700973810001,151,120070605070870097381000,37.013492,-121.915831,700
1200706050708900501200001,152,120070605070890050120000,40.492307,-121.582979,6900
1200706050708900510970001,153,120070605070890051097000,40.455398,-121.701818,4300
1200706050708900511050001,154,120070605070890051105000,40.997812,-121.858765,2300
1200706050708900545180001,155,120070605070890054518000,40.642843,-121.455242,4500
1200706050708900553870001,156,120070605070890055387000,41.140812,-121.661805,4500
1200706050708900618250001,157,120070605070890061825000,41.051537,-122.42384,3700
1200706050708900635810001,158,120070605070890063581000,40.568221,-121.824411,3900
1200706050708900644020001,159,120070605070890064402000,41.071079,-122.128458,4100
1200706050708900670500001,160,120070605070890067050000,40.484033,-121.869395,3500
1200706050708900690690002,161,120070605070890069069000,40.636961,-121.919737,2100
1200706050708900696540002,162,120070605070890069654000,40.942503,-121.946014,2900
1200706050708900697960001,163,120070605070890069796000,40.926501,-121.805313,4100
1200706050708900725760001,164,120070605070890072576000,41.111198,-121.971748,3900
1200706050708900800490001,165,120070605070890080049000,40.752014,-121.784351,5700
1200706050708900847290002,166,120070605070890084729000,40.352611,-122.966746,2500
1200706050708900888980001,167,120070605070890088898000,40.616389,-121.74883,4900
1200706050709100604220001,168,120070605070910060422000,39.540225,-120.975392,4100
1200706050709100641360001,169,120070605070910064136000,39.550258,-120.683749,6300
1200706050709100746400001,170,120070605070910074640000,39.57048,-120.350949,5100
1200706050709100781360001,171,120070605070910078136000,39.452442,-120.490845,6500
1200706050709100875340001,172,120070605070910087534000,39.462583,-120.190271,6100
1200706050709100906680001,173,120070605070910090668000,39.579647,-120.031581,5900
1200706050709100964030001,174,120070605070910096403000,39.600541,-120.841077,4700
1200706050709300566530001,175,120070605070930056653000,41.603608,-121.550067,7300
1200706050709300572240001,176,120070605070930057224000,41.729339,-121.898558,4500
1200706050709300582010001,177,120070605070930058201000,41.423014,-121.835255,4900
1200706050709300601570001,178,120070605070930060157000,41.933854,-123.545841,5100
1200706050709300631320001,179,120070605070930063132000,41.539738,-122.153387,6500
1200706050709300639200001,180,120070605070930063920000,41.478563,-121.688883,5100
1200706050709300643310001,181,120070605070930064331000,41.684081,-123.006951,4700
1200706050709300690430001,182,120070605070930069043000,41.304919,-123.143327,2500
1200706050709300711130001,183,120070605070930071113000,41.398788,-122.620046,4900
1200706050709300717830002,184,120070605070930071783000,41.289468,-121.697334,4500
1200706050709300761900001,185,120070605070930076190000,41.593592,-121.892616,4700
1200706050709300775790001,186,120070605070930077579000,41.242093,-122.292311,3700
1200706050709300817440001,187,120070605070930081744000,41.293184,-121.973719,3700
1200706050709300881120001,188,120070605070930088112000,41.835942,-123.073776,3700
1200706050709300883950001,189,120070605070930088395000,41.839541,-122.877367,2300
1200706050709300894530001,190,120070605070930089453000,41.421748,-122.300667,5300
1200706050709300907240001,191,120070605070930090724000,41.188971,-123.234787,3500
1200706050709300968540001,192,120070605070930096854000,41.780878,-123.203775,3500
1200706050709300981340001,193,120070605070930098134000,41.446815,-123.458939,1900
1200706050709300984230001,194,120070605070930098423000,41.247596,-121.824841,3900
1200706050709300997900001,195,120070605070930099790000,41.260842,-121.526258,3700
1200706050709700626760001,196,120070605070970062676000,38.604559,-122.902971,500
1200706050709700632670001,197,120070605070970063267000,38.73547,-123.197584,1700
1200706050709700987180001,198,120070605070970098718000,38.656287,-123.341397,900
1200706050709700989440002,199,120070605070970098944000,38.573281,-123.175375,1300
1200706050710300532850001,200,120070605071030053285000,40.273378,-121.679323,4500
1200706050710300550870001,201,120070605071030055087000,39.863416,-122.888139,4300
1200706050710300602320001,202,120070605071030060232000,39.918238,-122.760753,4700
1200706050710300602320002,203,120070605071030060232000,39.918238,-122.760753,4700
1200706050710300742190001,204,120070605071030074219000,40.069224,-122.764613,4700
1200706050710300753190001,205,120070605071030075319000,40.346215,-121.52359,4900
1200706050710300842500001,206,120070605071030084250000,39.828289,-122.783104,4900
1200706050710300949500001,207,120070605071030094950000,40.300583,-121.407344,5500
1200706050710300995960001,208,120070605071030099596000,40.108452,-121.968014,900
1200706050710500501260001,209,120070605071050050126000,40.800701,-123.335539,3100
1200706050710500520700001,210,120070605071050052070000,40.214833,-123.139319,4300
1200706050710500543120001,211,120070605071050054312000,40.364611,-123.12546,5100
1200706050710500581270001,212,120070605071050058127000,40.65675,-123.024796,2100
1200706050710500616630001,213,120070605071050061663000,40.72894,-122.842171,2300
1200706050710500665660001,214,120070605071050066566000,41.02288,-122.742744,3300
1200706050710500700350001,215,120070605071050070035000,40.002944,-123.386038,2900
1200706050710500702460001,216,120070605071050070246000,40.79127,-122.953538,4300
1200706050710500715560001,217,120070605071050071556000,40.514142,-123.13556,3300
1200706050710500745560001,218,120070605071050074556000,41.239471,-122.571971,6100
1200706050710500759570001,219,120070605071050075957000,40.496635,-123.479075,4500
1200706050710500760910001,220,120070605071050076091000,40.839139,-122.717469,3300
1200706050710500866070001,221,120070605071050086607000,40.171168,-123.265624,3500
1200706050710500914130001,222,120070605071050091413000,40.459084,-123.263206,3700
1200706050710500919580001,223,120070605071050091958000,40.895951,-122.889701,4100
1200706050710500919580003,224,120070605071050091958000,40.895951,-122.889701,4100
1200706050710500944840002,225,120070605071050094484000,40.944898,-123.395162,2300
1200706050710500960250001,226,120070605071050096025000,40.185979,-123.413506,2700
1200706050710500969590001,227,120070605071050096959000,40.480865,-123.283383,4300
1200706050710500969590002,228,120070605071050096959000,40.480865,-123.283383,4300
1200706050710500971170001,229,120070605071050097117000,40.612961,-123.325565,3500
1200706050710500975840001,230,120070605071050097584000,40.512257,-122.989567,3300
1200706050710700735140001,231,120070605071070073514000,36.109183,-118.279239,8100
1200706050710900531450001,232,120070605071090053145000,38.309749,-119.953822,6100
1200706050710900532970001,233,120070605071090053297000,37.985384,-120.335872,2100
1200706050710900589200001,234,120070605071090058920000,38.133464,-120.36676,1700
1200706050710900842900001,235,120070605071090084290000,38.109674,-120.194754,3900
1200706050710900849530001,236,120070605071090084953000,38.005267,-120.07561,5100
1200706050710900879260001,237,120070605071090087926000,38.131659,-119.917321,6900
1200706050710900883070001,238,120070605071090088307000,38.318655,-120.073745,6700
1200706050710900982770001,239,120070605071090098277000,37.968828,-120.205761,3100
1200706050710900990650001,240,120070605071090099065000,38.153364,-120.059054,5500
1200706050710900990650002,241,120070605071090099065000,38.153364,-120.059054,5500
1200706050711500637590001,242,120070605071150063759000,39.403396,-121.108184,1900
1200806050701300638460001,243,120080605070130063846000,37.836296,-122.17295,900
1200806050708900564550001,244,120080605070890056455000,40.902905,-122.55322,3300
1200806050709300531870001,245,120080605070930053187000,41.368559,-122.950627,5700
1200806050709700927170001,246,120080605070970092717000,38.370433,-122.604946,900
1200806050800300745120001,247,120080605080030074512000,38.698212,-119.791428,5900
1200806050800300929360001,248,120080605080030092936000,38.726539,-119.940529,7500
1200806050800500708340001,249,120080605080050070834000,38.49498,-120.671234,2500
1200806050800500949570001,250,120080605080050094957000,38.55144,-120.248342,6100
1200806050800700511230001,251,120080605080070051123000,39.598602,-121.162137,3700
1200806050800700532230001,252,120080605080070053223000,39.619273,-121.267287,1900
1200806050800700584900001,253,120080605080070058490000,40.047997,-121.471642,5700
1200806050800700641490001,254,120080605080070064149000,39.941938,-121.606584,2700
1200806050800700763940001,255,120080605080070076394000,39.758542,-121.488231,4100
1200806050800700995670001,256,120080605080070099567000,39.774863,-121.290582,4100
1200806050800700995840001,257,120080605080070099584000,39.93303,-121.500746,4100
1200806050800900504810001,258,120080605080090050481000,38.35216,-120.357125,5300
1200806050800900789140001,259,120080605080090078914000,38.200939,-120.348596,3500
1200806050800900848750001,260,120080605080090084875000,38.403364,-120.191833,6900
1200806050800900879230001,261,120080605080090087923000,38.20083,-120.499141,1700
1200806050801500517440002,262,120080605080150051744000,41.980638,-124.193526,300
1200806050801500561100001,263,120080605080150056110000,41.379813,-123.729716,3500
1200806050801500889540001,264,120080605080150088954000,41.83862,-124.128601,500
1200806050801700612410001,265,120080605080170061241000,38.729265,-120.242686,4900
1200806050801700658850001,266,120080605080170065885000,38.894055,-119.965382,6300
1200806050801700659030001,267,120080605080170065903000,38.691791,-120.54956,3500
1200806050801700692270001,268,120080605080170069227000,38.878321,-120.557936,4700
1200806050801700741710001,269,120080605080170074171000,38.91041,-120.546953,4100
1200806050801700770310001,270,120080605080170077031000,38.971363,-120.700547,3100
1200806050801700774340001,271,120080605080170077434000,38.669733,-120.396481,5300
1200806050801700774340004,272,120080605080170077434000,38.669733,-120.396481,5300
1200806050801700779310001,273,120080605080170077931000,38.557532,-120.547451,3700
1200806050801700793530001,274,120080605080170079353000,38.858481,-120.416015,5100
1200806050801700864420001,275,120080605080170086442000,38.819374,-120.707039,2900
1200806050801900533330001,276,120080605080190053333000,37.330358,-119.237841,6100
1200806050801900645250001,277,120080605080190064525000,36.986787,-119.163574,4500
1200806050801900680450001,278,120080605080190068045000,36.957117,-119.024633,6700
1200806050801900777300001,279,120080605080190077730000,37.130276,-119.350515,3900
1200806050802100563880001,280,120080605080210056388000,39.668205,-122.821042,5500
1200806050802100859760001,281,120080605080210085976000,39.775541,-122.687531,4300
1200806050802300517720001,282,120080605080230051772000,40.381347,-123.893328,1100
1200806050802300527620002,283,120080605080230052762000,40.191351,-123.707022,2700
1200806050802300531210001,284,120080605080230053121000,41.009133,-124.006995,900
1200806050802300583470001,285,120080605080230058347000,40.262253,-123.579212,2500
1200806050802300631610001,286,120080605080230063161000,40.905406,-123.654421,3100
1200806050802300631610002,287,120080605080230063161000,40.905406,-123.654421,3100
1200806050802300670760001,288,120080605080230067076000,41.145979,-123.833675,2700
1200806050802300672740001,289,120080605080230067274000,41.340471,-123.601402,2100
1200806050802300684770001,290,120080605080230068477000,41.226088,-123.708091,3500
1200806050802300792750001,291,120080605080230079275000,40.162161,-124.018898,900
1200806050802300860810001,292,120080605080230086081000,41.057527,-123.671375,500
1200806050802300890890001,293,120080605080230089089000,40.856964,-123.591866,1700
1200806050802300913320001,294,120080605080230091332000,40.530941,-123.757091,1300
1200806050802900692620001,295,120080605080290069262000,35.668694,-118.634411,5300
1200806050803500504650001,296,120080605080350050465000,40.333062,-120.71922000000001,5700
